STATE,NAME,ADDRESS,TELEPHONE NUMBER
JOHOR,PERTUBUHAN KEBAJIKAN INSAN ISTIMEWA JOHOR BAHRU(OKU-BERKEDIAMAN)-NGO,"NO. 40 & 40A, JALAN SUKTANAH ROGAYAH, TAMAN ISKANDAR, JOHOR BAHRU, JOHOR. 80050 , JOHOR",07 – 3338044
JOHOR,"PUSAT JAGAAN SINDROM DOWN KAWANIS, JOHOR BHARU(OKU-HARIAN)NGO","NO. 19, JALAN RESAK, TAMAN MAJIDEE, JOHOR BHARU,80250 , JOHOR",07- 3339336
JOHOR,PERTUBUHAN PEMULIHAN KAWASAN NEGERI JOHOR (JARO) [J/PJH OKU 026/2017] [3.4.2017 - 2.4.2022] - HARIAN / NGO,"BANGUNAN JARO, LOT 11742, JALAN SUNGAI CHAT, JOHOR BHARU,80100 , JOHOR",NA
JOHOR,RUMAH CHESHRE JOHOR (JOHOR CHESSHERE HOME) OKU BERKEDIAMAN-NGO,"JALAN JUMAAT, KAMPUNG UNGKU MOHSIN, JOHOR BAHRU,80350 , JOHOR",07-2371335/07-3324731
JOHOR,"LOTUSKRISH CARE CENTRE SDN. BHD (OKU-BERKEDIAMAN)SWASTA,NO. 25, JALAN MUSTIKA,  KG. MELAYU MAJIDEE,  JOHOR BAHRU 81100 , JOHOR","NO. 25, JALAN MUSTIKA,  KG. MELAYU MAJIDEE,  JOHOR BAHRU 81100 , JOHOR",07-3332227/2324567/3344990
JOHOR,PERSATUAN SINDROM DOWN NEGERI JOHOR (OKU-HARIAN)NGO,"NO. 54, JALAN INDAH 6/3,  TAMAN BUKIT INDAH,  JOHOR BAHRU 81200 , JOHOR",: 07-2327705/2413266
JOHOR,PUSAT JAGAAN NIVARNA SDN.BHD.(OKU-BERKEDIAMAN)SWASTA,"LOT 4424 & 4425, JALAN LURAH 5,  KEMPAS BARU,  JOHOR BAHRU 81200 , JOHOR",07-2358532
JOHOR,PUSAT JAGAAN NIRVANA SDN BHD [J/PJB OKU 036/2017] [1.6.2017-31.5.2022] - KEDIAMAN / SWASTA,"LOT 4424 & 4425, JALAN LURAH 5, KEMPAS BARU, 81200 JOHOR BAHRU, JOHOR",07-2358532 / 012-7920755
JOHOR,PERSATUAN SINDROM DOWN NEGERI JOHOR (PSDNJ) [J/PJH OKU 007/2017] [15.1.2017 - 14.1.2022] HARIAN/ NGO,"NO. 1, JALAN INDAH 10/8, TAMAN BUKIT INDAH 81200 JOHOR BAHRU, JOHOR",07-2327705
JOHOR,PERSATUAN SINDROM DOWN NEGERI JOHOR (PSDNJ),"NO,. 54, JALAN INDAH 6/3, TAMAN BUKIT INDAH, 81200 JOHOR BAHRU, JOHOR",07-2327705 / 012-7709060
JOHOR,PUSAT JAGAAN PERSATUAN CELEBRAL PALSY JOHOR [J/PJH OKU 022/2016] [12.5.2016 - 11.5.2021] - HARIAN / NGO,"NO. 138, JALAN DATO' MENTERI,  JOHOR BAHRU 80100 JOHOR BAHRU, JOHOR",07-2235452
JOHOR,PUSAT JAGAAN PERSATUAN PRIHATIN ORANG-ORANG KURANG CERDAS,"NO. 5, EDUCATION HUB, JALAN PERSISIRAN SUTERA DANGA 1, TMN SUTERA DANGA, SKUDAI 81300 JOHOR BAHRU, JOHOR",07-5563743
JOHOR,PUSAT SINDROM DOWN KIWANIS [J/PJH OKU 044/2016] [18.10.2016 - 17.10.2021] - HARIAN / SWASTA,"NO. 19, JALAN RESAK,  MAJIDEE PARK, 80250 JOHOR BAHRU, JOHOR",07-3339336
JOHOR,PERSATUAN KEBAJIKAN ORANG-ORANG KURANG UPAYANEGERI JOHOR,"NO. 2,  JALAN LINTANG, 86000 KLUANG, JOHOR",07-7771057
JOHOR,PUSAT JAGAAN SELVA RUMAH PRIHATIN DAN BIMBINGAN,"NO 16, JALAN BISTARI 5/8,  TAMAN YAYASAN,  BULOH KASAP,  85000 , JOHOR",019-9421754
JOHOR,PUSAT JAGAAN PERSATUAN KEBAJIKAN ORANG ISTIMEWA SEGAMAT,"NO 53, JALAN SEROJA,  TAMAN TAN LENG ANN, 85000 SEGAMAT, JOHOR",017-7560001
