STATE,NAME,ADDRESS,TELEPHONE NO
JOHOR,PUSAT JAGAAN PERSATUAN PENJAGAAN KANAK-KANAK TERENCAT AKAL JOHOR BAHRU(OKU-BERKEDIAMAN)-NGO,"LOT.5042 JALAN INDAH PERMAI 9,TAMAN SALENG INDAH,SENAI,81400 JOHOR","07-5989676,012-7761465"
JOHOR,PUSAT JAGAAN PERSATUAN KANAK-KANAK SPASTIK JOHOR(OKU-HARIAN)NGO,"NO. 138,JALAN DATO MENTERI, JOHOR BHARU,80100 , JOHOR",07-2235452
JOHOR,PERSATUAN BAGI KANAK-KANAK KERENCAT AKAL JOHOR(OKU-HARIAN)NGO,"LOT 17882, JALAN GERTAK MERAH, JOHOR BAHRU, 80000 , JOHOR",07-2247243
JOHOR,PJ PERTUBUHAN PERKHIDMATAN INTERVENSI AWAL BAGI KANAK-KANAK KURANG UPAYA DAERAH BATU PAHAT,"NO. 29-35, JALA N SUSUR PERDANA UTAMA TAMAN BUKIT PERDANA,83400 BATU PAHAT, JOHOR",019-7740205
JOHOR,PERSATUAN KANAK-KANAK TERENCAT AKAL JOHOR,"LOT 5042, JALAN INDAH PERMAI 9 TAMAN SALENG INDAH,81000 KULAI, JOHOR",07-5989676/77
JOHOR,PERSATUAN BAGI KANAK-KANAK KERENCATAN AKAL JOHOR,"LOT 17882,JALAN GERTAK MERAH,JOHOR BAHRU, 80000 JOHOR",07-2247243
JOHOR,PUSAT JAGAAN KANAK-KANAK ISTIMEWA (KIWANIS) ,"NO 5 JALAN KIAMBANG, TAMAN MUTIARA,JLN SG ABONG, 84000 MUAR, JOHOR",013-6314434
JOHOR,PUSAT JAGAAN PERTUBUHAN PERKHIDMATAN INTERVENSI AWAL BAGI KANAK-KANAK KURANG UPAYA DAERAH BATU PAHAT,"NO. 29-35, JALAN SUSUR PERDANA UTAMA,TAMAN BUKIT PERDANA,83000 BATU PAHAT, JOHOR",NA
KEDAH,PUSAT JAGAAN PERSATUAN KANAK-KANAK KHAS SUNGAI PETANI,"P.O.BOX 20, LORONG 3,TAMAN NURI, SUNGAI PETANI,08000 KUALA MUDA, KEDAH",04-4214061 / 012-5824733
KEDAH,PUSAT JAGAAN PERSATUAN BANTUAN PENDIDIKAN KANAK-KANAK KHAS,"NO. 20, LORONG 31,TAMAN PATANI JAYA, SUNGAI PETANI, 08000 KUALA MUDA, KEDAH",04-4255423
KEDAH,PUSAT JAGAAN KANAK-KANAK INTEVENSI AWALAN NASOM,"LOT 517, SIMPANG EMPAT PEKAN LUNAS,LUNAS 09600 KULIM, KEDAH",019-4589612/04-4841477
KELANTAN,PUSAT ASUHAN HARIAN KANAK-KANAK SPASTIK,"LOT 306, JLN PADANG TEMBAK TAMAN KEMUMIN, 16100 KOTA BHARU,KELANTAN",09-7746118
