Negeri,Melayu,Cina,India,PSm,PSb,PSw,Lain-lain,Jumlah
State,Malay,Chinese,Indian,PSm,PSb,PSw,Others,Total
  Johor,97,53,31,1,0,0,2,184
  Kedah,173,28,26,0,0,0,1,228
  Kelantan,142,6,0,2,0,0,2,152
  Melaka,49,87,10,0,2,0,1,149
  Negeri Sembilan,55,25,19,0,0,0,0,99
  Pahang,81,23,4,4,0,0,0,112
  Perak,80,45,34,1,0,0,1,161
  Perlis,23,1,0,0,0,0,0,24
  Pulau Pinang,65,67,19,0,0,0,0,151
  Sabah,13,9,0,0,115,0,22,159
  Sarawak,39,28,0,1,0,92,0,160
  Selangor,208,109,87,2,2,2,3,413
  Terengganu,144,10,0,0,0,0,0,154
  W.P. Kuala Lumpur,94,93,41,1,0,0,2,231
  W.P. Labuan,0,0,0,0,2,0,0,2
Jumlah/ Total,"1,263",584,271,12,121,94,34,"2,379"
