Negeri,Melayu,Cina,India,PSm,PSb,PSw,Lain-lain,Jumlah
State,Malay,Chinese,Indian,PSm,PSb,PSw,Others,Total
  Johor,244,163,33,0,1,0,1,442
  Kedah,252,44,24,0,1,0,4,325
  Kelantan,427,7,1,0,0,0,1,436
  Melaka,110,36,15,2,0,0,3,166
  Negeri Sembilan,95,57,31,1,0,0,1,185
  Pahang,127,19,5,2,0,0,0,153
  Perak,173,92,36,2,0,0,5,308
  Perlis,61,8,1,0,0,0,3,73
  Pulau Pinang,70,61,23,0,0,0,2,156
  Sabah,15,43,1,2,243,2,30,336
  Sarawak,80,144,0,0,0,202,4,430
  Selangor,251,169,115,0,2,0,3,540
  Terengganu,201,2,0,0,0,0,0,203
  W.P. Kuala Lumpur,137,134,51,0,0,1,3,326
  W.P. Labuan,6,2,0,0,3,0,4,15
Jumlah/ Total,"2,249",981,336,9,250,205,64,"4,094"
