Negeri,Melayu,Cina,India,PSm,PSb,PSw,Lain-lain,Jumlah
State,Malay,Chinese,Indian,PSm,PSb,PSw,Others,Total
  Johor,148,46,24,1,1,0,0,220
  Kedah,92,13,19,0,0,0,1,125
  Kelantan,186,9,0,2,0,0,0,197
  Melaka,30,7,3,0,0,0,0,40
  Negeri Sembilan,50,19,20,2,0,0,0,91
  Pahang,98,14,6,3,0,1,2,124
  Perak,92,30,20,2,0,0,0,144
  Perlis,29,2,0,0,0,0,1,32
  Pulau Pinang,53,39,7,0,0,0,1,100
  Sabah,13,18,1,3,137,0,24,196
  Sarawak,28,24,71,0,0,0,3,126
  Selangor,237,83,87,4,1,1,2,415
  Terengganu,111,5,2,0,0,0,0,118
  W.P. Kuala Lumpur,69,20,13,0,1,0,2,105
  W.P. Labuan,7,2,0,0,2,0,1,12
Jumlah/ Total,"1,243",331,273,17,142,2,37,"2,045"
