Negeri,Melayu,Cina,India,PSm,PSb,PSw,Lain-lain,Jumlah
State,Malay,Chinese,Indian,PSm,PSb,PSw,Others,Total
  Johor,26,3,3,0,0,0,0,32
  Kedah,29,4,2,0,0,0,0,35
  Kelantan,17,0,0,1,0,0,0,18
  Melaka,3,1,0,0,0,1,0,5
  Negeri Sembilan,6,4,3,0,0,0,1,14
  Pahang,4,1,1,0,0,0,0,6
  Perak,11,1,2,0,0,0,0,14
  Perlis,8,0,1,0,0,0,1,10
  Pulau Pinang,6,8,0,0,0,0,0,14
  Sabah,3,2,0,0,26,0,5,36
  Sarawak,7,2,1,0,0,14,0,24
  Selangor,25,5,5,1,0,0,2,38
  Terengganu,13,0,0,0,0,0,0,13
  W.P. Kuala Lumpur,14,8,1,0,0,0,1,24
  W.P. Labuan,0,0,0,0,1,0,0,1
Jumlah/ Total,172,39,19,2,27,15,10,284
