Negeri,Melayu,Cina,India,PSm,PSb,PSw,Lain-lain,Jumlah
State,Malay,Chinese,Indian,PSm,PSb,PSw,Others,Total
  Johor,256,104,37,1,1,1,2,402
  Kedah,334,39,30,0,0,0,2,405
  Kelantan,334,11,1,0,0,0,4,350
  Melaka,77,27,7,0,2,0,0,113
  Negeri Sembilan,66,39,41,0,0,1,0,147
  Pahang,168,33,17,4,0,0,2,224
  Perak,181,49,64,6,0,0,2,302
  Perlis,53,4,0,0,0,0,0,57
  Pulau Pinang,121,95,35,0,1,0,2,254
  Sabah,12,13,0,2,173,1,21,222
  Sarawak,88,77,0,0,0,233,1,399
  Selangor,322,130,119,2,3,0,1,577
  Terengganu,204,7,1,0,0,0,0,212
  W.P. Kuala Lumpur,129,82,47,0,0,1,0,259
  W.P. Labuan,4,5,0,0,3,0,1,13
Jumlah/ Total,"2,349",715,399,15,183,237,38,"3,936"
